time_s,pos_turns,pos_deg,normalized,velocity_turns_s,commanded_torque_Nm,desired_torque_Nm,torque_estimate_Nm,input_iq_A,effective_current_lim_A,motor_temp_C,fet_temp_C,vbus_V,ibus_A,power_elec_W,power_mech_W,power_loss_W,active_errors
0.000,-0.21539,-77.5,0.000,0.000,0.0000,0.0000,-0.0028,0.000,40.000,28.1,36.3,18.34,-0.000,-0.00,-0.00,-0.00,0
0.031,-0.21527,-77.5,0.000,-0.001,-0.1000,-1.0000,-0.0598,0.000,40.000,28.1,36.3,18.33,0.013,0.36,0.00,0.46,0
0.062,-0.21539,-77.5,0.000,-0.000,0.0000,0.0000,-0.0174,0.000,40.000,28.1,36.3,18.33,0.008,0.10,-0.00,0.08,0
0.092,-0.21519,-77.5,0.001,0.006,-0.1000,-1.0000,-0.0556,0.000,40.000,28.1,36.3,18.33,0.008,0.31,0.00,0.40,0
0.122,-0.21521,-77.5,0.001,-0.000,-0.2000,-1.0000,-0.2228,0.000,40.000,28.1,36.3,18.34,0.153,2.89,0.06,2.70,0
0.151,-0.21558,-77.6,0.000,-0.005,-0.1000,0.0000,-0.0819,0.000,40.000,28.1,36.3,18.33,0.037,0.64,-0.01,0.77,0
0.181,-0.21543,-77.6,0.000,0.003,0.0000,0.0000,-0.0224,0.000,40.000,28.1,36.3,18.33,0.008,0.12,-0.00,0.08,0
0.207,-0.21499,-77.4,0.001,0.021,-0.1000,-1.0000,-0.0583,0.000,40.000,28.1,36.3,18.33,0.009,0.32,-0.00,0.40,0
0.238,-0.21509,-77.4,0.001,-0.006,-0.2000,-1.0000,-0.2153,0.000,40.000,28.1,36.3,18.33,0.156,2.87,0.06,2.65,0
0.264,-0.21539,-77.5,0.000,-0.004,-0.3000,-1.0000,-0.3109,0.000,40.000,28.1,36.3,18.32,0.274,4.67,0.12,4.34,0
0.294,-0.21573,-77.7,0.000,-0.006,-0.2000,0.0000,-0.1918,0.000,40.000,28.1,36.3,18.33,0.105,1.94,-0.05,2.20,0
0.324,-0.21539,-77.5,0.000,0.004,-0.3000,-1.0000,-0.3103,0.000,40.000,28.1,36.3,18.32,0.257,4.38,0.11,4.14,0
0.355,-0.21550,-77.6,0.000,0.001,-0.2000,0.0000,-0.1899,0.000,40.000,28.1,36.3,18.33,0.096,2.04,-0.06,2.28,0
0.381,-0.21519,-77.5,0.001,0.001,-0.3000,-1.0000,-0.3203,0.000,40.000,28.1,36.3,18.32,0.266,4.44,0.09,4.27,0
0.412,-0.21524,-77.5,0.000,0.000,-0.4000,-1.0000,-0.3993,0.000,40.000,28.1,36.3,18.31,0.400,6.41,0.17,6.14,0
0.444,-0.21560,-77.6,0.000,0.002,-0.3000,0.0000,-0.2864,0.000,40.000,28.1,36.3,18.33,0.186,3.47,-0.05,3.94,0
0.474,-0.21550,-77.6,0.000,-0.001,-0.2000,0.0000,-0.1964,0.000,40.000,28.1,36.3,18.32,0.098,2.04,-0.08,2.40,0
0.502,-0.21520,-77.5,0.001,0.001,-0.3000,-1.0000,-0.3016,0.000,40.000,28.1,36.3,18.32,0.274,4.58,0.11,4.11,0
0.533,-0.21539,-77.5,0.000,-0.001,-0.2000,0.0000,-0.1914,0.000,40.000,28.1,36.3,18.32,0.101,2.12,-0.07,2.32,0
0.564,-0.21515,-77.5,0.001,0.001,-0.3000,-1.0000,-0.3057,0.000,40.000,28.1,36.3,18.33,0.260,4.41,0.11,4.11,0
0.595,-0.21521,-77.5,0.001,-0.001,-0.4000,-1.0000,-0.4058,0.000,40.000,28.1,36.3,18.31,0.392,6.74,0.16,6.31,0
0.622,-0.21545,-77.6,0.000,-0.011,-0.3000,0.0000,-0.3097,0.000,40.000,28.1,36.3,18.31,0.218,4.09,0.02,4.21,0
0.660,-0.21539,-77.5,0.000,0.000,-0.4000,-1.0000,-0.4182,0.000,40.000,28.1,36.3,18.31,0.394,7.14,0.08,6.71,0
0.690,-0.21566,-77.6,0.000,-0.003,-0.3000,0.0000,-0.2822,0.000,40.000,28.1,36.3,18.32,0.182,3.58,-0.08,4.02,0
0.721,-0.21556,-77.6,0.000,0.000,-0.2000,0.0000,-0.1776,0.000,40.000,28.1,36.3,18.32,0.101,1.85,-0.03,2.00,0
0.747,-0.21527,-77.5,0.000,0.001,-0.3000,-1.0000,-0.3212,0.000,40.000,28.1,36.3,18.33,0.275,4.71,0.08,4.38,0
0.777,-0.21539,-77.5,0.000,0.000,-0.2000,0.0000,-0.1824,0.000,40.000,28.1,36.3,18.32,0.099,1.82,-0.04,2.03,0
0.806,-0.21515,-77.5,0.001,0.002,-0.3000,-1.0000,-0.3065,0.000,40.000,28.1,36.3,18.32,0.269,4.86,0.08,4.45,0
0.835,-0.21532,-77.5,0.000,0.004,-0.4000,-1.0000,-0.4100,0.000,40.000,28.1,36.3,18.31,0.397,6.92,0.12,6.57,0
0.864,-0.21560,-77.6,0.000,0.007,-0.3000,0.0000,-0.2752,0.000,40.000,28.1,36.3,18.32,0.186,3.43,-0.05,3.73,0
0.894,-0.21548,-77.6,0.000,-0.003,-0.2000,0.0000,-0.1859,0.000,40.000,28.1,36.3,18.33,0.101,1.92,-0.04,2.15,0
0.920,-0.21522,-77.5,0.001,-0.002,-0.3000,-1.0000,-0.3133,0.000,40.000,28.1,36.3,18.32,0.274,4.60,0.11,4.24,0
0.948,-0.21539,-77.5,0.000,-0.003,-0.4000,-1.0000,-0.4123,0.000,40.000,28.1,36.3,18.31,0.400,6.80,0.17,6.33,0
0.978,-0.21582,-77.7,0.000,-0.009,-0.3000,0.0000,-0.2840,0.000,40.000,28.1,36.3,18.32,0.179,3.71,-0.06,4.01,0
1.008,-0.21577,-77.7,0.000,-0.006,-0.2000,0.0000,-0.1852,0.000,40.000,28.1,36.3,18.33,0.100,2.09,-0.08,2.20,0
1.038,-0.21539,-77.5,0.000,0.006,-0.1000,0.0000,-0.0840,0.000,40.000,28.1,36.3,18.33,0.043,0.67,-0.02,0.73,0
1.065,-0.21466,-77.3,0.002,0.030,-0.2000,-1.0000,-0.2232,0.000,40.000,28.1,36.3,18.33,0.153,2.91,0.01,2.71,0
1.095,-0.21441,-77.2,0.003,0.015,-0.3000,-1.0000,-0.3196,0.000,40.000,28.1,36.3,18.32,0.256,4.82,0.05,4.50,0
1.124,-0.21443,-77.2,0.003,0.005,-0.4000,-1.0000,-0.4178,0.000,40.000,28.1,36.3,18.31,0.391,7.10,0.10,6.61,0
1.153,-0.21479,-77.3,0.002,-0.008,-0.5000,-1.0000,-0.5237,0.000,40.000,28.1,36.3,18.30,0.544,9.53,0.22,9.01,0
1.183,-0.21580,-77.7,0.000,-0.038,-0.4000,0.0000,-0.3856,0.000,40.000,28.1,36.3,18.31,0.289,5.50,-0.02,5.73,0
1.213,-0.21639,-77.9,0.000,-0.026,-0.3000,0.0000,-0.2814,0.000,40.000,28.1,36.3,18.32,0.184,3.61,-0.03,3.83,0
1.240,-0.21665,-78.0,0.000,-0.004,-0.2000,0.0000,-0.1738,0.000,40.000,28.1,36.3,18.33,0.105,1.90,-0.03,2.07,0
1.264,-0.21647,-77.9,0.000,0.010,-0.1000,0.0000,-0.0910,0.000,40.000,28.1,36.3,18.33,0.035,0.74,-0.04,0.82,0
1.294,-0.21585,-77.7,0.000,0.007,-0.0000,0.0000,-0.0242,0.000,40.000,28.1,36.3,18.33,0.007,0.13,-0.00,0.07,0
1.324,-0.21577,-77.7,0.000,0.034,0.0000,0.0000,0.0030,0.000,40.000,28.1,36.3,18.34,-0.000,-0.00,-0.00,-0.00,0
1.350,-0.21501,-77.4,0.001,0.046,-0.1000,-1.0000,-0.0446,0.000,40.000,28.1,36.3,18.33,0.005,0.22,-0.01,0.35,0
1.379,-0.21380,-77.0,0.005,0.050,-0.2000,-1.0000,-0.2103,0.000,40.000,28.1,36.3,18.33,0.154,2.67,0.01,2.49,0
1.410,-0.21328,-76.8,0.006,-0.007,-0.3000,-1.0000,-0.3094,0.000,40.000,28.1,36.3,18.32,0.279,4.53,0.13,4.20,0
1.437,-0.21381,-77.0,0.005,-0.001,-0.4000,-1.0000,-0.4198,0.000,40.000,28.1,36.3,18.31,0.405,7.01,0.15,6.60,0
1.467,-0.21430,-77.1,0.003,-0.011,-0.5000,-1.0000,-0.5237,0.000,40.000,28.1,36.3,18.31,0.539,9.68,0.18,9.17,0
1.496,-0.21522,-77.5,0.001,-0.029,-0.6000,-1.0000,-0.6115,0.000,40.000,28.1,36.3,18.30,0.712,12.13,0.42,11.34,0
