time_s,pos_turns,pos_deg,normalized,velocity_turns_s,commanded_torque_Nm,desired_torque_Nm,torque_estimate_Nm,input_iq_A,effective_current_lim_A,motor_temp_C,fet_temp_C,vbus_V,ibus_A,power_elec_W,power_mech_W,power_loss_W,active_errors,time_s,motor_temp_C,power_elec_W,,joules in interval,total,motor_temp_C
0,-0.20856,-75.1,0,-0.001,0,0,-0.0038,0,40,38.8,40.2,18.29,0,0,0,0,0,0,38.8,0,,0,0,38.8
0.03,-0.2085,-75.1,0,0.001,-0.1,-2.5,-0.0473,0,40,38.8,40.2,18.28,0.008,0.24,0,0.32,0,0.03,38.8,0.24,,0.0072,0.0072,38.8
0.06,-0.2085,-75.1,0,-0.002,-0.2,-2.5,-0.2126,0,40,38.8,40.2,18.29,0.164,2.97,0.02,2.83,0,0.06,38.8,2.97,,0.0891,0.0963,38.8
0.085,-0.20856,-75.1,0,0,-0.1,0,-0.0922,0,40,38.8,40.2,18.27,0.041,0.9,0,0.98,0,0.085,38.8,0.9,,0.027,0.1233,38.8
0.115,-0.20856,-75.1,0,0,0,0,-0.0236,0,40,38.8,40.2,18.28,0.009,0.1,0,0.14,0,0.115,38.8,0.1,,0.003,0.1263,38.8
0.145,-0.20837,-75,0.001,0.02,-0.1,-2.5,-0.0412,0,40,38.8,40.2,18.28,0.008,0.26,0,0.35,0,0.145,38.8,0.26,,0.0078,0.1341,38.8
0.174,-0.20837,-75,0.001,-0.003,-0.2,-2.5,-0.2128,0,40,38.8,40.2,18.29,0.164,2.99,0,2.82,0,0.174,38.8,2.99,,0.0897,0.2238,38.8
0.204,-0.20837,-75,0.001,0.001,-0.3,-2.5,-0.3126,0,40,38.8,40.2,18.28,0.289,5.1,0.01,4.8,0,0.204,38.8,5.1,,0.153,0.3768,38.8
0.234,-0.20852,-75.1,0,-0.005,-0.4,-2.5,-0.4169,0,40,38.8,40.2,18.26,0.43,7.7,0.07,7.48,0,0.234,38.8,7.7,,0.231,0.6078,38.8
0.263,-0.20905,-75.3,0,-0.006,-0.3,0,-0.2885,0,40,38.8,40.2,18.28,0.212,3.86,0,4.07,0,0.263,38.8,3.86,,0.1158,0.7236,38.8
0.293,-0.20904,-75.3,0,0.003,-0.2,0,-0.1795,0,40,38.8,40.2,18.27,0.113,2.08,-0.01,2.25,0,0.293,38.8,2.08,,0.0624,0.786,38.8
0.322,-0.20898,-75.2,0,-0.003,-0.1,0,-0.0882,0,40,38.8,40.2,18.29,0.046,0.82,-0.02,0.93,0,0.322,38.8,0.82,,0.0246,0.8106,38.8
0.352,-0.20856,-75.1,0,0.011,0,0,-0.0257,0,40,38.8,40.2,18.29,0.011,0.17,0,0.13,0,0.352,38.8,0.17,,0.0051,0.8157,38.8
0.381,-0.20813,-74.9,0.001,0.001,-0.1,-2.5,-0.0565,0,40,38.8,40.2,18.28,0.007,0.23,0,0.32,0,0.381,38.8,0.23,,0.0069,0.8226,38.8
0.412,-0.20813,-74.9,0.001,0.001,-0.2,-2.5,-0.1954,0,40,38.8,40.2,18.29,0.148,2.5,0.01,2.62,0,0.412,38.8,2.5,,0.075,0.8976,38.8
0.451,-0.20844,-75,0,-0.001,-0.3,-2.5,-0.3163,0,40,38.8,40.2,18.28,0.292,5.28,0.11,4.83,0,0.451,38.8,5.28,,0.1584,1.056,38.8
0.48,-0.20918,-75.3,0,-0.023,-0.2,0,-0.1948,0,40,38.8,40.2,18.28,0.121,2.63,0,2.66,0,0.48,38.8,2.63,,0.0789,1.1349,38.8
0.518,-0.20949,-75.4,0,-0.011,-0.1,0,-0.0889,0,40,38.8,40.2,18.28,0.044,0.9,0,0.9,0,0.518,38.8,0.9,,0.027,1.1619,38.8
0.548,-0.20955,-75.4,0,-0.006,0,0,-0.0249,0,40,38.8,40.2,18.28,0.008,0.09,0,0.13,0,0.548,38.8,0.09,,0.0027,1.1646,38.8
0.577,-0.20953,-75.4,0,0,0,0,0.0018,0,40,38.8,40.2,18.28,0,0,0,0,0,0.577,38.8,0,,0,1.1646,38.8
0.605,-0.20941,-75.4,0,0.009,0,0,0.0081,0,40,38.8,40.2,18.28,0,0,0,0,0,0.605,38.8,0,,0,1.1646,38.8
0.635,-0.20877,-75.2,0,0.033,0,0,0.0034,0,40,38.8,40.2,18.28,0,0,0,0,0,0.635,38.8,0,,0,1.1646,38.8
0.665,-0.20791,-74.8,0.002,0.03,-0.1,-2.5,-0.0921,0,40,38.8,40.2,18.29,0.009,0.7,0,0.87,0,0.665,38.8,0.7,,0.021,1.1856,38.8
0.698,-0.20757,-74.7,0.003,0.014,-0.2,-2.5,-0.2092,0,40,38.8,40.2,18.27,0.168,2.91,0.02,2.72,0,0.698,38.8,2.91,,0.0873,1.2729,38.8
0.729,-0.20759,-74.7,0.003,0.004,-0.3,-2.5,-0.305,0,40,38.8,40.2,18.28,0.288,5.25,0.06,4.8,0,0.729,38.8,5.25,,0.1575,1.4304,38.8
0.759,-0.20812,-74.9,0.001,-0.021,-0.4,-2.5,-0.4248,0,40,38.8,40.2,18.27,0.426,7.73,0.18,7.22,0,0.759,38.8,7.73,,0.2319,1.6623,38.8
0.789,-0.2096,-75.5,0,-0.038,-0.3,0,-0.2926,0,40,38.8,40.2,18.28,0.21,4.05,0.03,4.19,0,0.789,38.8,4.05,,0.1215,1.7838,38.8
0.818,-0.21023,-75.7,0,-0.024,-0.2,0,-0.1855,0,40,38.8,40.2,18.29,0.119,2.1,0.01,2.24,0,0.818,38.8,2.1,,0.063,1.8468,38.8
0.848,-0.21057,-75.8,0,-0.016,-0.1,0,-0.084,0,40,38.8,40.2,18.28,0.046,0.79,0,0.86,0,0.848,38.8,0.79,,0.0237,1.8705,38.8
0.877,-0.21051,-75.8,0,0,0,0,-0.0141,0,40,38.8,40.2,18.29,0.009,0.15,0,0.11,0,0.877,38.8,0.15,,0.0045,1.875,38.8
0.901,-0.2102,-75.7,0,0.004,0,0,-0.0012,0,40,38.7,40.2,18.28,0,0,0,0,0,0.901,38.7,0,,0,1.875,38.7
0.931,-0.21051,-75.8,0,-0.042,0,0,0.0051,0,40,38.7,40.2,18.29,0,0,0,0,0,0.931,38.7,0,,0,1.875,38.7
0.96,-0.21143,-76.1,0,-0.018,0,0,-0.0023,0,40,38.7,40.2,18.28,0,0,0,0,0,0.96,38.7,0,,0,1.875,38.7
0.987,-0.21147,-76.1,0,0.001,0,0,0.0009,0,40,38.7,40.2,18.29,0,0,0,0,0,0.987,38.7,0,,0,1.875,38.7
1.017,-0.21091,-75.9,0,0.025,0,0,0.0001,0,40,38.7,40.2,18.29,0,0,0,0,0,1.017,38.7,0,,0,1.875,38.7
1.046,-0.21037,-75.7,0,0.013,0,0,0.0027,0,40,38.7,40.2,18.29,0,0,0,0,0,1.046,38.7,0,,0,1.875,38.7
1.076,-0.2104,-75.7,0,-0.002,0,0,0.0029,0,40,38.7,40.2,18.29,0,0,0,0,0,1.076,38.7,0,,0,1.875,38.7
1.101,-0.21064,-75.8,0,-0.008,0,0,0.0045,0,40,38.7,40.2,18.29,0,0,0,0,0,1.101,38.7,0,,0,1.875,38.7
1.131,-0.2109,-75.9,0,0,0,0,-0.0003,0,40,38.7,40.2,18.29,0,0,0,0,0,1.131,38.7,0,,0,1.875,38.7
1.159,-0.21077,-75.9,0,0.006,0,0,0.0046,0,40,38.7,40.2,18.29,0,0,0,-0.01,0,1.159,38.7,0,,0,1.875,38.7
1.186,-0.21044,-75.8,0,0.013,0,0,0.0009,0,40,38.7,40.2,18.29,0,0,0,0,0,1.186,38.7,0,,0,1.875,38.7
1.215,-0.21033,-75.7,0,0,0,0,0.0029,0,40,38.7,40.2,18.29,0,0,0,0,0,1.215,38.7,0,,0,1.875,38.7
1.242,-0.2101,-75.6,0,0.009,0,0,-0.0079,0,40,38.7,40.2,18.29,0,0,0,0,0,1.242,38.7,0,,0,1.875,38.7
1.269,-0.21008,-75.6,0,-0.002,0,0,0.0013,0,40,38.7,40.2,18.29,0,0,0,0,0,1.269,38.7,0,,0,1.875,38.7
1.299,-0.21033,-75.7,0,-0.005,0,0,-0.0081,0,40,38.7,40.2,18.29,0,0,0,0,0,1.299,38.7,0,,0,1.875,38.7
1.329,-0.2107,-75.9,0,-0.009,0,0,0.0013,0,40,38.7,40.2,18.29,0,0,0,0,0,1.329,38.7,0,,0,1.875,38.7
