time_s,pos_turns,pos_deg,normalized,velocity_turns_s,curve_multiplier,commanded_torque_Nm,desired_torque_Nm,torque_estimate_Nm,input_iq_A,effective_current_lim_A,motor_temp_C,fet_temp_C,vbus_V,ibus_A,power_elec_W,power_mech_W,power_loss_W,active_errors
0.000,0.39892,143.6,0.000,0.003,0.8000,-0.1000,-0.8000,-0.0826,0.000,40.000,23.6,30.9,18.15,0.009,0.53,0.01,0.72,0
0.027,0.39868,143.5,0.000,-0.006,0.0000,-0.0000,-0.0000,-0.0187,0.000,40.000,23.6,30.9,18.15,0.009,0.14,-0.00,0.09,0
0.058,0.39874,143.5,0.000,0.001,0.0000,-0.0000,-0.0000,0.0026,0.000,40.000,23.6,30.9,18.16,-0.000,0.00,-0.00,0.00,0
0.088,0.39884,143.6,0.000,0.011,0.0000,-0.0000,-0.0000,-0.0052,0.000,40.000,23.6,30.9,18.15,0.000,0.00,0.00,-0.00,0
0.115,0.39911,143.7,0.001,0.015,0.8000,-0.1000,-0.8000,-0.0494,0.000,40.000,23.6,30.9,18.16,0.006,0.25,-0.00,0.32,0
0.144,0.39911,143.7,0.001,0.005,0.8000,-0.2000,-0.8000,-0.2028,0.000,40.000,23.6,30.9,18.15,0.170,2.80,0.03,2.59,0
0.175,0.39825,143.4,0.000,-0.016,0.0000,-0.1000,-0.0000,-0.0956,0.000,40.000,23.6,30.9,18.16,0.049,0.89,-0.01,0.94,0
0.205,0.39852,143.5,0.000,0.014,0.0000,-0.0000,-0.0000,-0.0203,0.000,40.000,23.6,30.9,18.16,0.010,0.09,-0.01,0.11,0
0.235,0.40028,144.1,0.004,0.078,0.8000,-0.1000,-0.8000,-0.0581,0.000,40.000,23.6,30.9,18.15,0.007,0.31,-0.02,0.43,0
0.264,0.40234,144.8,0.010,0.074,0.8000,-0.2000,-0.8000,-0.2131,0.000,40.000,23.6,30.9,18.15,0.162,2.84,-0.07,2.75,0
0.294,0.40326,145.2,0.013,0.031,0.8000,-0.3000,-0.8000,-0.3027,0.000,40.000,23.6,30.9,18.14,0.275,4.75,-0.04,4.63,0
0.321,0.40339,145.2,0.013,0.009,0.8000,-0.4000,-0.8000,-0.4010,0.000,40.000,23.6,30.9,18.13,0.409,6.89,0.02,6.67,0
0.350,0.40366,145.3,0.014,0.028,0.8000,-0.5000,-0.8000,-0.5150,0.000,40.000,23.6,30.9,18.12,0.560,9.53,-0.05,9.24,0
0.379,0.40480,145.7,0.018,0.066,0.8000,-0.6000,-0.8000,-0.6067,0.000,40.000,23.6,30.9,18.11,0.702,11.86,-0.10,11.71,0
0.406,0.40668,146.4,0.023,0.096,0.8000,-0.7000,-0.8000,-0.7027,0.000,40.000,23.6,30.9,18.09,0.873,15.15,-0.17,14.56,0
0.437,0.40977,147.5,0.033,0.120,0.8000,-0.8000,-0.8000,-0.8075,0.000,40.000,23.6,30.9,18.07,1.055,18.27,-0.47,18.24,0
0.467,0.41337,148.8,0.043,0.139,0.8000,-0.8000,-0.8000,-0.7943,0.000,40.000,23.6,30.9,18.07,1.007,18.23,-0.67,18.97,0
0.495,0.41761,150.3,0.056,0.156,0.8000,-0.8000,-0.8000,-0.8013,0.000,40.000,23.6,30.9,18.07,1.055,19.28,-0.79,19.81,0
0.525,0.42205,151.9,0.069,0.145,0.8000,-0.8000,-0.8000,-0.8058,0.000,40.000,23.6,30.9,18.06,1.112,20.09,-0.74,20.71,0
0.554,0.42606,153.4,0.081,0.129,0.8000,-0.8000,-0.8000,-0.8096,0.000,40.000,23.6,30.9,18.06,1.125,20.55,-0.61,21.04,0
0.583,0.42947,154.6,0.092,0.118,0.8000,-0.8000,-0.8000,-0.7965,0.000,40.000,23.6,30.9,18.05,1.144,20.68,-0.57,21.13,0
0.613,0.43292,155.9,0.102,0.113,0.8000,-0.8000,-0.8000,-0.8066,0.000,40.000,23.6,30.9,18.05,1.131,20.38,-0.61,21.28,0
0.642,0.43694,157.3,0.114,0.157,0.8000,-0.8000,-0.8000,-0.8004,0.000,40.000,23.6,30.9,18.04,1.168,21.16,-0.84,21.97,0
0.672,0.44249,159.3,0.131,0.212,0.8000,-0.8000,-0.8000,-0.8046,0.000,40.000,23.6,30.9,18.04,1.192,21.51,-1.14,22.65,0
0.702,0.44992,162.0,0.153,0.270,0.8000,-0.8000,-0.8000,-0.7997,0.000,40.000,23.6,30.9,18.03,1.169,20.87,-1.31,22.14,0
0.728,0.45690,164.5,0.174,0.254,0.8000,-0.8000,-0.8000,-0.7990,0.000,40.000,23.6,31.0,18.04,1.069,19.10,-1.30,20.32,0
0.760,0.46421,167.1,0.196,0.209,0.8000,-0.8000,-0.8000,-0.7925,0.000,40.000,23.6,31.0,18.05,1.043,18.71,-1.05,19.93,0
0.788,0.46955,169.0,0.212,0.168,0.8000,-0.8000,-0.8000,-0.7981,0.000,40.000,23.6,31.0,18.05,1.024,18.46,-0.81,19.25,0
0.819,0.47427,170.7,0.226,0.142,0.8000,-0.8000,-0.8000,-0.8020,0.000,40.000,23.6,31.0,18.05,0.995,17.97,-0.70,18.67,0
0.848,0.47751,171.9,0.236,0.083,0.8000,-0.8000,-0.8000,-0.7996,0.000,40.000,23.6,31.0,18.06,0.988,17.76,-0.32,18.10,0
0.878,0.47854,172.3,0.239,0.004,0.8000,-0.8000,-0.8000,-0.7997,0.000,40.000,23.6,31.0,18.06,0.984,17.82,-0.09,17.98,0
0.905,0.47858,172.3,0.239,-0.001,0.8000,-0.8000,-0.8000,-0.8040,0.000,40.000,23.6,31.0,18.06,0.984,17.86,-0.00,17.85,0
0.934,0.47794,172.1,0.237,-0.056,0.8000,-0.8000,-0.8000,-0.7993,0.000,40.000,23.6,31.0,18.06,1.034,18.74,0.80,18.01,0
1.014,0.46724,168.2,0.205,-0.193,0.8000,-0.8000,-0.8000,-0.7985,0.000,40.000,23.6,31.0,18.05,1.070,19.44,1.03,18.42,0
1.044,0.46094,165.9,0.186,-0.226,0.8000,-0.8000,-0.8000,-0.8040,0.000,40.000,23.6,31.0,18.05,1.101,19.81,1.16,18.55,0
1.073,0.45434,163.6,0.166,-0.212,0.8000,-0.8000,-0.8000,-0.7936,0.000,40.000,23.6,31.0,18.04,1.206,21.80,0.99,20.80,0
1.122,0.44493,160.2,0.138,-0.186,0.8000,-0.8000,-0.8000,-0.7973,0.000,40.000,23.6,31.0,18.04,1.239,22.39,0.85,21.48,0
1.152,0.43989,158.4,0.123,-0.162,0.8000,-0.8000,-0.8000,-0.7975,0.000,40.000,23.6,31.0,18.03,1.229,22.21,0.84,21.39,0
1.183,0.43529,156.7,0.109,-0.142,0.8000,-0.8000,-0.8000,-0.8015,0.000,40.000,23.6,31.0,18.03,1.189,21.44,0.72,20.77,0
1.212,0.43099,155.2,0.096,-0.148,0.8000,-0.8000,-0.8000,-0.7975,0.000,40.000,23.6,31.0,18.04,1.179,21.15,0.80,20.46,0
1.239,0.42683,153.7,0.084,-0.147,0.8000,-0.8000,-0.8000,-0.7987,0.000,40.000,23.6,31.1,18.04,1.170,21.08,0.78,20.21,0
1.269,0.42234,152.0,0.070,-0.142,0.8000,-0.8000,-0.8000,-0.7967,0.000,40.000,23.6,31.1,18.04,1.150,20.60,0.72,19.98,0
1.296,0.41896,150.8,0.060,-0.111,0.8000,-0.8000,-0.8000,-0.7925,0.000,40.000,23.6,31.1,18.04,1.100,19.90,0.54,19.43,0
1.322,0.41692,150.1,0.054,-0.048,0.8000,-0.8000,-0.8000,-0.8071,0.000,40.000,23.6,31.1,18.05,1.072,19.35,0.20,19.19,0
1.352,0.41620,149.8,0.052,-0.006,0.8000,-0.8000,-0.8000,-0.7994,0.000,40.000,23.6,31.1,18.05,1.061,19.06,0.09,19.02,0
1.381,0.41609,149.8,0.052,0.005,0.8000,-0.8000,-0.8000,-0.8034,0.000,40.000,23.6,31.1,18.05,1.057,19.12,-0.03,19.09,0
1.410,0.41639,149.9,0.052,0.006,0.8000,-0.8000,-0.8000,-0.8062,0.000,40.000,23.6,31.1,18.05,1.057,19.06,-0.09,19.22,0
1.438,0.41669,150.0,0.053,0.009,0.8000,-0.8000,-0.8000,-0.7931,0.000,40.000,23.6,31.1,18.05,1.068,19.20,-0.08,19.14,0
1.468,0.41736,150.2,0.055,0.037,0.8000,-0.8000,-0.8000,-0.8021,0.000,40.000,23.7,31.1,18.05,1.067,19.25,-0.22,19.66,0
1.496,0.41911,150.9,0.061,0.085,0.8000,-0.8000,-0.8000,-0.7991,0.000,40.000,23.7,31.1,18.05,1.084,19.60,-0.46,20.06,0
1.521,0.42225,152.0,0.070,0.143,0.8000,-0.8000,-0.8000,-0.8020,0.000,40.000,23.7,31.1,18.05,1.113,20.14,-0.75,20.90,0
1.548,0.42745,153.9,0.086,0.218,0.8000,-0.8000,-0.8000,-0.7992,0.000,40.000,23.7,31.1,18.04,1.124,20.37,-1.15,21.52,0
1.578,0.43515,156.7,0.109,0.287,0.8000,-0.8000,-0.8000,-0.7938,0.000,40.000,23.7,31.1,18.04,1.129,20.48,-1.54,22.11,0
1.605,0.44359,159.7,0.134,0.318,0.8000,-0.8000,-0.8000,-0.7995,0.000,40.000,23.7,31.2,18.04,1.190,21.56,-1.66,22.98,0
1.635,0.45339,163.2,0.163,0.308,0.8000,-0.8000,-0.8000,-0.8075,0.000,40.000,23.7,31.2,18.04,1.108,19.96,-1.57,21.43,0
1.664,0.46192,166.3,0.189,0.289,0.8000,-0.8000,-0.8000,-0.7972,0.000,40.000,23.7,31.2,18.04,1.042,18.71,-1.47,20.30,0
1.695,0.47126,169.7,0.217,0.317,0.8000,-0.8000,-0.8000,-0.7959,0.000,40.000,23.7,31.2,18.05,0.996,18.07,-1.60,19.48,0
1.721,0.47953,172.6,0.242,0.321,0.8000,-0.8000,-0.8000,-0.8074,0.000,40.000,23.7,31.2,18.06,0.952,17.17,-1.60,18.66,0
1.752,0.48912,176.1,0.271,0.303,0.8000,-0.8000,-0.8000,-0.7980,0.000,40.000,23.7,31.2,18.05,1.037,18.77,-1.58,20.44,0
1.781,0.49822,179.4,0.298,0.324,0.8000,-0.8000,-0.8000,-0.8001,0.000,40.000,23.7,31.2,18.05,1.104,20.00,-1.65,21.57,0
1.810,0.50753,182.7,0.326,0.322,0.8000,-0.8000,-0.8000,-0.8022,0.000,40.000,23.7,31.2,18.04,1.138,20.45,-1.52,22.13,0
1.838,0.51567,185.6,0.350,0.283,0.8000,-0.8000,-0.8000,-0.8029,0.000,40.000,23.7,31.2,18.04,1.179,21.17,-1.44,22.65,0
1.864,0.52275,188.2,0.372,0.262,0.8000,-0.8000,-0.8000,-0.7945,0.000,40.000,23.7,31.2,18.05,1.116,20.13,-1.32,21.53,0
1.892,0.53002,190.8,0.393,0.240,0.8000,-0.8000,-0.8000,-0.7983,0.000,40.000,23.7,31.2,18.04,1.035,18.66,-1.21,19.82,0
1.921,0.53663,193.2,0.413,0.224,0.8000,-0.8000,-0.8000,-0.7952,0.000,40.000,23.7,31.3,18.05,1.040,18.69,-1.19,20.00,0
1.951,0.54338,195.6,0.433,0.226,0.8000,-0.8000,-0.8000,-0.8036,0.000,40.000,23.7,31.3,18.05,0.999,18.03,-1.13,19.12,0
1.980,0.54961,197.9,0.452,0.187,0.8000,-0.8000,-0.8000,-0.8020,0.000,40.000,23.7,31.3,18.05,0.971,17.46,-0.92,18.37,0
2.010,0.55390,199.4,0.465,0.114,0.8000,-0.8000,-0.8000,-0.7996,0.000,40.000,23.7,31.3,18.05,0.973,17.60,-0.56,18.16,0
2.037,0.55631,200.3,0.472,0.057,0.8000,-0.8000,-0.8000,-0.8003,0.000,40.000,23.7,31.3,18.05,1.016,18.30,-0.27,18.61,0
2.063,0.55682,200.5,0.474,0.002,0.8000,-0.8000,-0.8000,-0.8063,0.000,40.000,23.7,31.3,18.05,1.036,18.88,0.04,18.59,0
2.088,0.55641,200.3,0.472,-0.029,0.8000,-0.8000,-0.8000,-0.7995,0.000,40.000,23.7,31.3,18.04,1.030,18.63,0.12,18.55,0
2.118,0.55382,199.4,0.465,-0.139,0.8000,-0.8000,-0.8000,-0.8108,0.000,40.000,23.7,31.3,18.05,1.006,18.22,0.72,17.58,0
2.146,0.54880,197.6,0.450,-0.210,0.8000,-0.8000,-0.8000,-0.8038,0.000,40.000,23.7,31.3,18.06,1.018,18.30,1.13,17.32,0
2.171,0.54259,195.3,0.431,-0.266,0.8000,-0.8000,-0.8000,-0.7917,0.000,40.000,23.7,31.3,18.05,1.058,19.06,1.40,17.77,0
2.198,0.53471,192.5,0.407,-0.299,0.8000,-0.8000,-0.8000,-0.7976,0.000,40.000,23.7,31.4,18.04,1.090,19.76,1.48,18.25,0
2.228,0.52601,189.4,0.381,-0.292,0.8000,-0.8000,-0.8000,-0.7987,0.000,40.000,23.7,31.4,18.04,1.139,20.65,1.46,19.11,0
2.256,0.51827,186.6,0.358,-0.277,0.8000,-0.8000,-0.8000,-0.7953,0.000,40.000,23.7,31.4,18.02,1.237,22.13,1.33,20.74,0
