time_s,pos_turns,pos_deg,normalized,velocity_turns_s,curve_multiplier,commanded_torque_Nm,desired_torque_Nm,torque_estimate_Nm,input_iq_A,motor_temp_C,fet_temp_C,vbus_V,ibus_A,power_elec_W,power_mech_W,active_errors
0.003,-0.60230,-0.0,0.000,-0.012,1.0000,-0.1000,-1.5000,-0.0790,0.000,24.5,30.5,18.05,0.020,0.79,0.03,0
0.033,-0.60294,-0.3,0.000,0.000,1.0000,-0.2000,-1.5000,-0.2207,0.000,24.5,30.5,18.05,0.166,2.94,0.10,0
0.059,-0.60386,-0.6,0.000,0.000,1.0000,-0.3000,-1.5000,-0.3275,0.000,24.5,30.5,18.04,0.287,4.78,0.15,0
0.085,-0.60439,-0.8,0.000,-0.005,1.0000,-0.4000,-1.5000,-0.4204,0.000,24.5,30.5,18.04,0.426,7.31,0.17,0
0.110,-0.60492,-1.0,0.000,-0.003,1.0000,-0.5000,-1.5000,-0.5219,0.000,24.5,30.5,18.03,0.581,9.85,0.31,0
0.137,-0.60544,-1.2,0.000,-0.001,1.0000,-0.6000,-1.5000,-0.6327,0.000,24.5,30.5,18.01,0.758,13.15,0.24,0
0.162,-0.60591,-1.3,0.000,-0.005,1.0000,-0.7000,-1.5000,-0.7296,0.000,24.5,30.5,17.99,0.945,16.43,0.32,0
0.187,-0.60631,-1.5,0.000,-0.005,1.0000,-0.8000,-1.5000,-0.8311,0.000,24.5,30.5,17.97,1.159,20.22,0.33,0
0.212,-0.60678,-1.6,0.000,-0.011,1.0000,-0.9000,-1.5000,-0.9293,0.000,24.5,30.5,17.95,1.398,24.42,0.45,0
0.238,-0.60743,-1.9,0.000,-0.011,1.0000,-1.0000,-1.5000,-1.0282,0.000,24.5,30.5,17.92,1.664,28.93,0.48,0
0.263,-0.60852,-2.3,0.000,-0.053,1.0000,-1.1000,-1.5000,-1.1225,0.000,24.5,30.5,17.89,1.948,33.81,0.94,0
0.290,-0.61109,-3.2,0.000,-0.122,1.0000,-1.2000,-1.5000,-1.2134,0.000,24.5,30.5,17.85,2.255,39.37,1.59,0
0.318,-0.61681,-5.2,0.000,-0.239,1.0000,-1.3000,-1.5000,-1.3070,0.000,24.5,30.5,17.79,2.790,49.11,2.46,0
0.348,-0.62357,-7.7,0.000,-0.231,1.0000,-1.4000,-1.5000,-1.4027,0.000,24.5,30.5,17.74,3.266,57.36,2.28,0
0.379,-0.63374,-11.3,0.000,-0.453,1.0000,-1.5000,-1.5000,-1.5386,0.000,24.5,30.6,17.68,3.775,65.72,5.53,0
0.404,-0.65442,-18.8,0.000,-1.199,1.0000,-1.5000,-1.5000,-1.4547,0.000,24.5,30.6,17.72,3.099,54.08,12.09,0
0.429,-0.70364,-36.5,0.000,-2.639,1.0000,-1.5000,-1.5000,-1.2029,0.000,24.5,30.6,17.71,2.981,51.20,20.85,0
0.453,-0.78504,-65.8,0.000,-3.130,1.0000,-1.5000,-1.5000,-1.6138,0.000,24.5,30.6,17.69,3.758,67.89,5.45,0
0.478,-0.81307,-75.9,0.000,-1.627,1.0000,-1.5000,-1.5000,-1.3562,0.000,24.5,30.6,17.74,2.902,52.54,14.30,0
0.503,-0.85803,-92.1,0.000,-2.015,1.0000,-1.5000,-1.5000,-1.3751,0.000,24.5,30.6,17.70,3.226,55.69,16.97,0
0.528,-0.89776,-106.4,0.000,-1.483,1.0000,-1.5000,-1.5000,-1.3837,0.000,24.5,30.6,17.69,3.189,58.01,12.55,0
0.552,-0.94267,-122.6,0.000,-2.207,1.0000,-1.5000,-1.5000,-1.2903,0.000,24.5,30.6,17.72,2.666,46.07,17.81,0
0.577,-0.99967,-143.1,0.000,-2.090,1.0000,-1.5000,-1.5000,-1.5084,0.000,24.5,30.6,17.68,3.485,64.32,9.99,0
0.602,-1.00371,-144.5,0.000,-0.089,1.0000,-1.5000,-1.5000,-1.4922,0.000,24.5,30.6,17.69,3.281,58.02,-0.87,0
0.629,-1.00293,-144.3,0.000,0.100,1.0000,-1.5000,-1.5000,-1.5132,0.000,24.5,30.6,17.68,3.368,59.73,0.68,0
0.654,-1.00304,-144.3,0.000,0.036,1.0000,-1.5000,-1.5000,-1.5044,0.000,24.5,30.6,17.69,3.333,59.10,-0.16,0
0.680,-1.00249,-144.1,0.000,0.042,1.0000,-1.5000,-1.5000,-1.4985,0.000,24.5,30.6,17.69,3.355,59.37,-0.19,0
0.706,-1.00229,-144.0,0.000,-0.029,1.0000,-1.5000,-1.5000,-1.5105,0.000,24.5,30.6,17.68,3.361,59.51,0.42,0
0.730,-1.00300,-144.3,0.000,-0.014,1.0000,-1.5000,-1.5000,-1.4950,0.000,24.5,30.6,17.68,3.342,59.06,0.28,0
0.755,-1.00314,-144.3,0.000,0.017,1.0000,-1.5000,-1.5000,-1.4976,0.000,24.5,30.6,17.69,3.330,58.78,-0.07,0
