time_s,pos_turns,pos_deg,normalized,velocity_turns_s,commanded_torque_Nm,desired_torque_Nm,torque_estimate_Nm,input_iq_A,effective_current_lim_A,motor_temp_C,fet_temp_C,vbus_V,ibus_A,power_elec_W,power_mech_W,power_loss_W,active_errors
0.000,0.39841,143.4,0.000,-0.008,-0.1000,-1.0000,-0.0960,0.000,40.000,27.4,31.3,18.18,0.038,1.07,0.03,0.90,0
0.035,0.39774,143.2,0.000,0.001,0.0000,0.0000,-0.0186,0.000,40.000,27.4,31.3,18.17,0.009,0.15,-0.00,0.11,0
0.065,0.39799,143.3,0.000,0.001,0.0000,0.0000,-0.0050,0.000,40.000,27.4,31.3,18.18,0.000,0.00,0.00,-0.00,0
0.095,0.39800,143.3,0.000,-0.001,0.0000,0.0000,-0.0023,0.000,40.000,27.4,31.3,18.18,0.000,-0.00,-0.00,-0.00,0
0.125,0.39801,143.3,0.000,0.000,0.0000,0.0000,-0.0028,0.000,40.000,27.4,31.3,18.17,0.000,0.00,-0.00,0.00,0
0.152,0.39800,143.3,0.000,0.002,0.0000,0.0000,0.0028,0.000,40.000,27.4,31.3,18.18,0.000,0.00,0.00,-0.00,0
0.185,0.39800,143.3,0.000,0.000,0.0000,0.0000,0.0007,0.000,40.000,27.4,31.3,18.18,-0.000,-0.00,0.00,0.00,0
0.216,0.39801,143.3,0.000,0.000,0.0000,0.0000,-0.0022,0.000,40.000,27.4,31.3,18.18,-0.000,0.00,-0.00,-0.00,0
0.246,0.39801,143.3,0.000,0.002,0.0000,0.0000,-0.0047,0.000,40.000,27.4,31.3,18.18,-0.000,-0.00,-0.00,-0.00,0
0.271,0.39799,143.3,0.000,-0.001,0.0000,0.0000,-0.0017,0.000,40.000,27.4,31.3,18.18,-0.000,-0.00,0.00,0.00,0
0.301,0.39801,143.3,0.000,-0.000,0.0000,0.0000,0.0004,0.000,40.000,27.4,31.3,18.17,-0.000,0.00,-0.00,0.00,0
0.330,0.39801,143.3,0.000,0.001,0.0000,0.0000,0.0026,0.000,40.000,27.4,31.3,18.18,0.000,-0.00,-0.00,-0.00,0
0.360,0.39801,143.3,0.000,0.001,0.0000,0.0000,0.0014,0.000,40.000,27.4,31.3,18.18,0.000,-0.00,0.00,-0.00,0
