time_s,pos_turns,pos_deg,normalized,velocity_turns_s,curve_multiplier,commanded_torque_Nm,desired_torque_Nm,torque_estimate_Nm,input_iq_A,effective_current_lim_A,motor_temp_C,fet_temp_C,vbus_V,ibus_A,power_elec_W,power_mech_W,power_loss_W,active_errors
0.000,0.39519,142.3,0.000,-0.003,0.8000,-0.1000,-0.8000,-0.0461,0.000,40.000,26.7,31.0,18.18,0.008,0.32,0.00,0.36,0
0.031,0.39491,142.2,0.000,-0.001,0.0000,-0.0000,-0.0000,-0.0192,0.000,40.000,26.7,31.0,18.18,0.010,0.13,-0.00,0.14,0
0.060,0.39521,142.3,0.000,0.003,0.8000,-0.1000,-0.8000,-0.0534,0.000,40.000,26.7,31.0,18.18,0.010,0.35,0.00,0.52,0
0.087,0.39514,142.3,0.000,-0.000,0.8000,-0.2000,-0.8000,-0.2067,0.000,40.000,26.7,31.0,18.17,0.167,2.76,0.17,2.54,0
0.116,0.39392,141.8,0.000,-0.035,0.0000,-0.1000,-0.0000,-0.0927,0.000,40.000,26.7,31.0,18.17,0.045,0.78,0.00,0.94,0
0.144,0.39343,141.6,0.000,-0.023,0.0000,-0.0000,-0.0000,-0.0199,0.000,40.000,26.7,31.0,18.18,0.010,0.13,-0.00,0.08,0
0.173,0.39366,141.7,0.000,-0.006,0.0000,-0.0000,-0.0000,-0.0035,0.000,40.000,26.7,31.0,18.18,0.000,0.00,0.00,0.00,0
0.203,0.39364,141.7,0.000,-0.008,0.0000,-0.0000,-0.0000,-0.0021,0.000,40.000,26.7,31.0,18.18,-0.000,0.00,-0.00,-0.00,0
0.232,0.39360,141.7,0.000,0.004,0.0000,-0.0000,-0.0000,-0.0031,0.000,40.000,26.7,31.0,18.18,-0.000,0.00,-0.00,0.00,0
0.263,0.39351,141.7,0.000,-0.003,0.0000,-0.0000,-0.0000,-0.0010,0.000,40.000,26.7,31.0,18.17,0.000,0.00,0.00,0.00,0
0.292,0.39343,141.6,0.000,-0.001,0.0000,-0.0000,-0.0000,0.0039,0.000,40.000,26.7,31.0,18.17,0.000,-0.00,0.00,-0.00,0
0.321,0.39349,141.7,0.000,0.006,0.0000,-0.0000,-0.0000,0.0062,0.000,40.000,26.7,31.1,18.18,-0.000,-0.00,0.00,-0.00,0
0.353,0.39403,141.9,0.000,0.027,0.0000,-0.0000,-0.0000,0.0012,0.000,40.000,26.7,31.1,18.18,-0.000,-0.00,-0.00,0.00,0
0.383,0.39551,142.4,0.001,0.067,0.8000,-0.1000,-0.8000,-0.0508,0.000,40.000,26.7,31.1,18.18,0.007,0.24,-0.01,0.47,0
0.413,0.39720,143.0,0.006,0.053,0.8000,-0.2000,-0.8000,-0.2021,0.000,40.000,26.7,31.1,18.17,0.167,2.69,-0.01,2.59,0
