time_s,pos_turns,pos_deg,normalized,velocity_turns_s,curve_multiplier,commanded_torque_Nm,desired_torque_Nm,torque_estimate_Nm,input_iq_A,motor_temp_C,fet_temp_C,vbus_V,ibus_A,power_elec_W,power_mech_W,active_errors
0.000,-5.62500,-0.0,0.000,-0.004,1.0000,-0.1000,-1.5000,-0.0999,0.000,29.9,31.5,19.37,0.057,1.11,-0.01,0
0.039,-5.62488,0.0,0.000,-0.012,1.0000,-0.2000,-1.5000,-0.2078,0.000,29.9,31.5,19.35,0.152,2.90,0.01,0
0.077,-5.62394,0.4,0.003,-0.026,1.0000,-0.3000,-1.5000,-0.2967,0.000,29.9,31.5,19.34,0.256,4.98,0.01,0
0.116,-5.62402,0.3,0.003,0.006,1.0000,-0.4000,-1.5000,-0.4106,0.000,29.9,31.5,19.31,0.415,7.74,-0.05,0
0.146,-5.62276,0.8,0.007,0.061,1.0000,-0.5000,-1.5000,-0.5013,0.000,29.9,31.5,19.28,0.579,10.87,-0.25,0
0.177,-5.61949,2.0,0.016,0.126,1.0000,-0.6000,-1.5000,-0.6074,0.000,29.9,31.5,19.25,0.765,13.90,-0.53,0
0.207,-5.61424,3.9,0.032,0.187,1.0000,-0.7000,-1.5000,-0.7045,0.000,29.9,31.5,19.21,0.979,18.42,-0.83,0
0.239,-5.60742,6.3,0.053,0.201,1.0000,-0.8000,-1.5000,-0.8017,0.000,29.9,31.5,19.14,1.312,24.68,-1.12,0
0.271,-5.60044,8.8,0.074,0.201,1.0000,-0.9000,-1.5000,-0.8899,0.000,29.9,31.5,19.07,1.657,31.52,-1.01,0
0.303,-5.59618,10.4,0.086,0.040,1.0000,-1.0000,-1.5000,-1.0043,0.000,29.9,31.5,18.98,2.003,37.42,-0.11,0
0.334,-5.59601,10.4,0.087,-0.028,1.0000,-1.1000,-1.5000,-1.1055,0.000,29.9,31.5,18.92,2.352,43.72,0.02,0
0.365,-5.59545,10.6,0.089,0.059,1.0000,-1.2000,-1.5000,-1.1974,0.000,29.9,31.5,18.85,2.792,51.74,-0.88,0
0.396,-5.59065,12.4,0.103,0.213,1.0000,-1.3000,-1.5000,-1.2939,0.000,29.9,31.5,18.74,3.303,61.47,-1.32,0
0.428,-5.58704,13.7,0.114,0.057,1.0000,-1.4000,-1.5000,-1.3966,0.000,29.9,31.5,18.68,3.822,70.24,-0.61,0
0.458,-5.58631,13.9,0.116,-0.038,1.0000,-1.5000,-1.5000,-1.5045,0.000,29.9,31.5,18.57,4.317,78.88,0.22,0
0.489,-5.58712,13.6,0.114,-0.004,1.0000,-1.5000,-1.5000,-1.5052,0.000,29.9,31.5,18.57,4.274,79.54,-0.00,0
0.520,-5.58679,13.7,0.115,0.016,1.0000,-1.5000,-1.5000,-1.5026,0.000,29.9,31.5,18.56,4.279,79.39,-0.27,0
0.550,-5.58648,13.9,0.116,-0.004,1.0000,-1.5000,-1.5000,-1.5061,0.000,29.9,31.5,18.53,4.279,79.21,-0.00,0
0.581,-5.58668,13.8,0.115,-0.001,1.0000,-1.5000,-1.5000,-1.4977,0.000,29.9,31.5,18.53,4.280,79.25,0.01,0
0.612,-5.58673,13.8,0.115,0.008,1.0000,-1.5000,-1.5000,-1.5075,0.000,29.9,31.5,18.54,4.267,79.12,-0.01,0
0.645,-5.58670,13.8,0.115,-0.000,1.0000,-1.5000,-1.5000,-1.5036,0.000,29.9,31.5,18.53,4.284,78.75,-0.06,0
0.677,-5.58673,13.8,0.115,0.000,1.0000,-1.5000,-1.5000,-1.4993,0.000,29.9,31.5,18.53,4.263,78.85,-0.02,0
0.708,-5.58672,13.8,0.115,-0.003,1.0000,-1.5000,-1.5000,-1.4999,0.000,29.9,31.5,18.52,4.270,78.88,0.00,0
0.745,-5.58669,13.8,0.115,0.007,1.0000,-1.5000,-1.5000,-1.4943,0.000,29.9,31.5,18.52,4.277,79.11,0.01,0
0.786,-5.58667,13.8,0.115,-0.000,1.0000,-1.5000,-1.5000,-1.4982,0.000,29.9,31.5,18.51,4.257,79.28,-0.03,0
0.818,-5.58664,13.8,0.115,-0.003,1.0000,-1.5000,-1.5000,-1.5013,0.000,29.9,31.6,18.53,4.272,79.26,0.04,0
0.847,-5.58698,13.7,0.114,-0.018,1.0000,-1.5000,-1.5000,-1.4976,0.000,29.9,31.6,18.52,4.272,79.20,0.34,0
0.876,-5.58815,13.3,0.111,-0.051,1.0000,-1.5000,-1.5000,-1.4971,0.000,29.9,31.6,18.52,4.236,78.66,0.47,0
0.905,-5.58967,12.7,0.106,-0.047,1.0000,-1.5000,-1.5000,-1.5022,0.000,29.9,31.6,18.52,4.226,77.73,0.50,0
0.934,-5.59141,12.1,0.101,-0.063,1.0000,-1.5000,-1.5000,-1.5009,0.000,29.9,31.6,18.54,4.155,76.84,0.68,0
0.965,-5.59432,11.0,0.092,-0.105,1.0000,-1.5000,-1.5000,-1.5075,0.000,29.9,31.6,18.54,4.118,75.94,0.96,0
0.996,-5.59868,9.5,0.079,-0.158,1.0000,-1.5000,-1.5000,-1.5029,0.000,29.9,31.6,18.58,4.024,74.51,1.43,0
1.027,-5.60392,7.6,0.063,-0.170,1.0000,-1.5000,-1.5000,-1.5048,0.000,29.9,31.6,18.61,3.878,71.90,1.62,0
1.059,-5.60966,5.5,0.046,-0.192,1.0000,-1.5000,-1.5000,-1.4999,0.000,29.9,31.6,18.64,3.683,68.55,1.90,0
1.091,-5.61666,3.0,0.025,-0.257,1.0000,-1.5000,-1.5000,-1.4902,0.000,29.9,31.7,18.66,3.486,65.20,2.63,0
1.123,-5.62574,-0.3,0.000,-0.297,1.0000,-1.5000,-1.5000,-1.5048,0.000,29.9,31.7,18.67,3.604,67.72,2.95,0
1.155,-5.63635,-4.1,0.000,-0.365,1.0000,-1.5000,-1.5000,-1.4989,0.000,29.9,31.7,18.63,3.810,71.02,3.48,0
1.187,-5.64847,-8.5,0.000,-0.410,1.0000,-1.5000,-1.5000,-1.5030,0.000,29.9,31.7,18.57,4.195,77.50,3.83,0
1.218,-5.66136,-13.1,0.000,-0.414,1.0000,-1.5000,-1.5000,-1.5072,0.000,29.9,31.7,18.56,4.060,75.09,3.94,0
1.250,-5.67428,-17.7,0.000,-0.402,1.0000,-1.5000,-1.5000,-1.5000,0.000,29.9,31.7,18.60,3.833,71.16,4.13,0
1.280,-5.68660,-22.2,0.000,-0.366,1.0000,-1.5000,-1.5000,-1.5019,0.000,29.9,31.8,18.68,3.481,64.58,3.18,0
1.311,-5.69710,-26.0,0.000,-0.329,1.0000,-1.5000,-1.5000,-1.4951,0.000,29.9,31.8,18.67,3.645,68.14,2.90,0
1.341,-5.70504,-28.8,0.000,-0.189,1.0000,-1.5000,-1.5000,-1.4988,0.000,29.9,31.8,18.64,3.801,71.15,1.53,0
1.371,-5.70902,-30.3,0.000,-0.074,1.0000,-1.5000,-1.5000,-1.4982,0.000,29.9,31.8,18.62,3.906,72.87,0.31,0
1.402,-5.70882,-30.2,0.000,0.081,1.0000,-1.5000,-1.5000,-1.4955,0.000,29.9,31.8,18.61,3.910,72.80,-1.10,0
1.433,-5.70435,-28.6,0.000,0.194,1.0000,-1.5000,-1.5000,-1.5064,0.000,29.9,31.9,18.62,3.846,71.62,-2.07,0
1.465,-5.69636,-25.7,0.000,0.299,1.0000,-1.5000,-1.5000,-1.5017,0.000,29.9,31.9,18.64,3.737,69.25,-2.77,0
1.496,-5.68720,-22.4,0.000,0.288,1.0000,-1.5000,-1.5000,-1.5027,0.000,29.9,31.9,18.64,3.682,69.22,-2.62,0
1.528,-5.67777,-19.0,0.000,0.334,1.0000,-1.5000,-1.5000,-1.4903,0.000,29.9,31.9,18.59,3.997,74.44,-2.66,0
1.560,-5.66804,-15.5,0.000,0.405,1.0000,-1.5000,-1.5000,-1.4988,0.000,29.9,32.0,18.53,4.225,78.84,-3.76,0
1.590,-5.65692,-11.5,0.000,0.318,1.0000,-1.5000,-1.5000,-1.5012,0.000,29.9,32.0,18.51,4.383,81.27,-2.81,0
1.621,-5.64797,-8.3,0.000,0.295,1.0000,-1.5000,-1.5000,-1.5048,0.000,29.9,32.0,18.53,4.260,78.47,-2.98,0
1.652,-5.63782,-4.6,0.000,0.356,1.0000,-1.5000,-1.5000,-1.5035,0.000,29.9,32.0,18.59,3.935,73.03,-3.41,0
1.683,-5.62636,-0.5,0.000,0.360,1.0000,-1.5000,-1.5000,-1.4996,0.000,29.9,32.0,18.62,3.729,69.17,-3.50,0
1.715,-5.61467,3.7,0.031,0.370,1.0000,-1.5000,-1.5000,-1.4917,0.000,29.9,32.1,18.62,3.754,70.55,-3.34,0
1.749,-5.60273,8.0,0.067,0.349,1.0000,-1.5000,-1.5000,-1.4965,0.000,29.9,32.1,18.57,4.095,76.23,-3.19,0
1.780,-5.59351,11.3,0.094,0.205,1.0000,-1.5000,-1.5000,-1.4983,0.000,29.9,32.1,18.52,4.208,77.60,-0.69,0
1.815,-5.59266,11.6,0.097,-0.068,1.0000,-1.5000,-1.5000,-1.5036,0.000,29.9,32.1,18.54,4.114,76.45,0.87,0
1.847,-5.59564,10.6,0.088,-0.078,1.0000,-1.5000,-1.5000,-1.4924,0.000,29.9,32.2,18.53,4.108,76.43,0.62,0
1.878,-5.59655,10.2,0.085,0.014,1.0000,-1.5000,-1.5000,-1.5019,0.000,29.9,32.2,18.53,4.124,76.60,-0.26,0
1.908,-5.59547,10.6,0.089,0.049,1.0000,-1.5000,-1.5000,-1.5011,0.000,29.9,32.2,18.52,4.156,76.65,-0.49,0
1.939,-5.59417,11.1,0.092,0.022,1.0000,-1.5000,-1.5000,-1.5040,0.000,29.9,32.2,18.53,4.150,77.26,-0.21,0
1.969,-5.59412,11.1,0.093,-0.013,1.0000,-1.5000,-1.5000,-1.5053,0.000,29.9,32.2,18.53,4.139,76.63,0.30,0
2.000,-5.59532,10.7,0.089,-0.036,1.0000,-1.5000,-1.5000,-1.5021,0.000,29.9,32.3,18.53,4.115,76.06,0.47,0
2.031,-5.59698,10.1,0.084,-0.065,1.0000,-1.5000,-1.5000,-1.5009,0.000,29.9,32.3,18.54,4.100,75.76,0.78,0
2.062,-5.59982,9.1,0.075,-0.127,1.0000,-1.5000,-1.5000,-1.5000,0.000,29.9,32.3,18.56,4.013,74.22,1.37,0
2.093,-5.60513,7.1,0.060,-0.218,1.0000,-1.5000,-1.5000,-1.5052,0.000,29.9,32.3,18.57,3.840,71.22,2.28,0
